central_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_data_access_group,analysis_local_id,gisaid_authors,assembly_method,ave_depth,missing
1090,analysis,1,ritm,COV22-607055GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",236.693,99.41
1091,analysis,1,ritm,COV22-607137GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",98.9364,87.46
1092,analysis,1,ritm,COV22-607138GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",54.6955,73.78
1093,analysis,1,ritm,COV22-607139GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",167.689,94.68
1094,analysis,1,ritm,COV22-607140GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",61.7019,78.71
1095,analysis,1,ritm,COV22-607141GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",90.357,84.61
1096,analysis,1,ritm,COV22-607142GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",207.005,98.67
1097,analysis,1,ritm,COV22-607143GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",196.576,96.42
1098,analysis,1,ritm,COV22-607144GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",0.0698592,0
1099,analysis,1,ritm,COV22-607145GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",172.752,97.89
1100,analysis,1,ritm,COV22-607146GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",243.762,99.42
1101,analysis,1,ritm,COV22-607126GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",101.811,87.87
1102,analysis,1,ritm,COV22-607125GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",29.0905,51.76
