central_id,local_id
142,COV21-549314RH
142,
142,
142,
143,COV21-549064RH
143,
143,
143,
144,COV21-544805RH
144,
144,
144,
145,
146,
147,COV21-424935
147,
147,
147,
148,COV21-430095
148,
148,
148,
149,COV21-430421
149,
149,
149,
150,COV21-433027
150,
150,
150,
151,COV21-433028
151,
151,
151,
152,COV21-435508
152,
152,
152,
153,COV21-438786
153,
153,
153,
154,COV21-439305
154,
154,
154,
155,COV21-442922
155,
155,
155,
156,COV21-443171
156,
156,
156,
157,COV21-443172
157,
157,
157,
158,COV21-444242
158,
158,
158,
159,COV21-444825
159,
159,
159,
160,COV21-445442
160,
160,
160,
161,COV21-445905
161,
161,
161,
162,COV21-447283
162,
162,
162,
163,COV21-447441
163,
163,
163,
164,COV21-447443
164,
164,
164,
165,COV21-448563
165,
165,
165,
166,COV21-448568
166,
166,
166,
167,COV21-449520
167,
167,
167,
168,COV21-449521
168,
168,
168,
169,COV21-451067
169,
169,
169,
170,COV21-451324
170,
170,
170,
171,COV21-451378
171,
171,
171,
172,COV21-452664
172,
172,
172,
173,COV21-461885
173,
173,
173,
174,COV21-465398
174,
174,
174,
175,COV21-465410
175,
175,
175,
176,COV21-467601
176,
176,
176,
177,COV21-467737
177,
177,
177,
178,COV21-470156
178,
178,
178,
179,COV21-474515
179,
179,
179,
180,COV21-474530
180,
180,
180,
181,COV21-474833
181,
181,
181,
182,COV21-476274
182,
182,
182,
183,COV21-476334
183,
183,
183,
184,COV21-477104R
184,
184,
184,
185,COV21-477354R
185,
185,
185,
186,COV21-477510R
186,
186,
186,
187,COV21-481800
187,
187,
187,
188,COV21-483869
188,
188,
188,
189,COV21-483872
189,
189,
189,
190,COV21-485423
190,
190,
190,
191,COV21-485845
191,
191,
191,
192,COV21-486039
192,
192,
192,
193,COV21-486479
193,
193,
193,
194,COV21-487091
194,
194,
194,
195,COV21-388725
195,
195,
195,
196,COV21-389363
196,
196,
196,
197,COV21-391996
197,
197,
197,
198,COV21-393049
198,
198,
198,
199,COV21-395089
199,
199,
199,
200,COV21-396861
200,
200,
200,
201,COV21-399157
201,
201,
201,
202,COV21-399331
202,
202,
202,
203,COV21-399434
203,
203,
203,
203,
203,
204,COV21-401232
204,
204,
204,
205,COV21-401939
205,
205,
205,
206,COV21-401942
206,
206,
206,
207,COV21-401943
207,
207,
207,
208,COV21-401945
208,
208,
208,
209,COV21-403170
209,
209,
209,
210,COV21-404078
210,
210,
210,
211,COV21-404559
211,
211,
211,
212,COV21-405896
212,
212,
212,
213,COV21-405898
213,
213,
213,
214,COV21-409798
214,
214,
214,
215,COV21-409833
215,
215,
215,
216,COV21-410235
216,
216,
216,
217,COV21-410873
217,
217,
217,
218,COV21-411686
218,
218,
218,
219,COV21-411688
219,
219,
219,
220,COV21-412423
220,
220,
220,
221,COV21-416747
221,
221,
221,
222,COV21-423861
222,
222,
222,
223,COV21-439657
223,
223,
223,
224,COV21-440944
224,
224,
224,
225,COV21-440945
225,
225,
225,
226,COV21-440946
226,
226,
226,
227,COV21-445444
227,
227,
227,
228,COV21-445504
228,
228,
228,
229,COV21-445579
229,
229,
229,
230,COV21-445724
230,
230,
230,
231,COV21-445901
231,
231,
231,
232,COV21-445902
232,
232,
232,
233,COV21-448191
233,
233,
233,
234,COV21-448225
234,
234,
234,
235,COV21-449408
235,
235,
235,
236,COV21-449416
236,
236,
236,
237,COV21-449418
237,
237,
237,
238,COV21-450233
238,
238,
238,
239,COV21-451364
239,
239,
239,
240,COV21-485453
240,
240,
240,
241,COV21-401264
241,
241,
241,
242,COV21-401267
242,
242,
242,
243,COV21-401278
243,
243,
243,
244,COV21-401302
244,
244,
244,
245,COV21-401950
245,
245,
245,
246,COV21-401954
246,
246,
246,
247,COV21-402296
247,
247,
247,
248,COV21-401816
248,
248,
248,
249,COV21-402839
249,
249,
249,
250,COV21-403153
250,
250,
250,
251,COV21-405041
251,
251,
251,
252,COV21-405043
252,
252,
252,
253,COV21-405044
253,
253,
253,
254,COV21-405047
254,
254,
254,
255,COV21-405544
255,
255,
255,
256,COV21-405660
256,
256,
256,
257,COV21-406270
257,
257,
257,
258,COV21-401275
258,
258,
258,
259,COV21-402825
259,
259,
259,
260,COV21-402840
260,
260,
260,
261,COV21-404972
261,
261,
261,
262,COV21-403150
262,
262,
262,
263,COV21-405545
263,
263,
263,
264,COV21-405039
264,
264,
264,
265,COV21-405894
265,
265,
265,
266,COV21-406187
266,
266,
266,
267,COV21-406563
267,
267,
267,
268,COV21-407018
268,
268,
268,
269,COV21-407170
269,
269,
269,
270,COV21-401270
270,
270,
270,
271,COV21-409971
271,
271,
271,
272,COV21-411667
272,
272,
272,
273,COV21-407313
273,
273,
273,
274,COV21-408210
274,
274,
274,
275,COV21-408213
275,
275,
275,
276,COV21-408909
276,
276,
276,
277,COV21-409184
277,
277,
277,
278,COV21-409433
278,
278,
278,
279,COV21-409610
279,
279,
279,
280,COV21-409645
280,
280,
280,
281,COV21-410039
281,
281,
281,
282,COV21-409786
282,
282,
282,
283,COV21-409787
283,
283,
283,
